City,Country,Lat,Long,Temp_max,Humidity,Cloudiness,Wind_Speed
Avarua,CK,-21.21,-159.78,73.4,88,87,9.17
Goderich,CA,43.75,-81.72,78.01,72,0,5.75
Vaini,TO,-21.2,-175.2,69.8,94,75,4.7
Ponta do Sol,PT,32.67,-17.1,75,77,19,3
La Ronge,CA,55.1,-105.28,59,67,40,11.41
Bull Savanna,JM,17.89,-77.59,85.64,66,20,13.29
Hutchinson,US,38.06,-97.93,87.01,45,1,16.11
Carteret,US,40.58,-74.23,79,50,1,4.7
Punta Arenas,CL,-53.15,-70.92,53.6,54,99,33.33
Hirado,JP,33.36,129.55,72,45,100,10
Vao,NC,-22.67,167.48,73.31,85,47,17.16
Bam,IR,29.11,58.36,70.88,18,0,7.27
Hilo,US,19.73,-155.09,75,88,75,6.93
Vila Franca do Campo,PT,37.72,-25.43,69.8,73,75,12.75
Hithadhoo,MV,-0.6,73.08,82.81,65,6,4.03
Kavieng,PG,-2.57,150.8,83.21,68,79,8.72
Valente,BR,-11.41,-39.46,84.43,43,35,16.06
Dikson,RU,73.51,80.55,43.16,69,84,24.83
Klaksvík,FO,62.23,-6.59,44.6,81,48,11.41
Portland,US,45.52,-122.68,59,87,90,14.99
Albany,US,42.6,-73.97,79,61,11,4.41
Esperance,AU,-33.87,121.9,48.2,87,40,12.75
Khatanga,RU,71.97,102.5,38.97,85,99,8.52
Arraial do Cabo,BR,-22.97,-42.03,82.4,74,0,12.75
Praia da Vitória,PT,38.73,-27.07,70,77,75,13.49
Qaanaaq,GL,77.48,-69.36,16.88,84,0,3.8
Manavālakurichi,IN,8.13,77.3,80.6,88,75,2.24
Jamestown,US,42.1,-79.24,79,56,1,6.93
Mataura,NZ,-46.19,168.86,41,93,90,3
Kosum Phisai,TH,16.25,103.07,82.4,88,40,3.36
Bose,IT,45.46,8.01,55,70,82,4.7
Port Elizabeth,ZA,-33.92,25.57,60.8,77,40,33.33
George Town,MY,5.41,100.34,77,94,40,4.7
Rikitea,PF,-23.12,-134.97,73.2,84,71,13.62
Busselton,AU,-33.65,115.33,55.99,75,2,3.51
Ossora,RU,59.24,163.07,35.58,82,36,10.02
Muli,MV,2.92,73.57,82.27,76,43,6.82
Barrow,US,71.29,-156.79,32,96,90,17.22
