City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
rock sound,0,RU,1612471543,78,71.9667,102.5,-31.47,9.22
rock sound,1,US,1612471817,48,42.097,-79.2353,35.6,8.05
rock sound,74,BR,1612471851,64,-2.5364,-57.76,88.27,1.9
rock sound,31,PF,1612471851,68,-16.4833,-151.75,81.21,5.99
rock sound,20,MY,1612471851,73,5.4112,100.3354,77.0,2.3
rock sound,20,CA,1612471851,67,65.282,-126.8329,-40.0,2.3
rock sound,100,CN,1612471851,86,31.8111,121.655,46.99,1.99
rock sound,0,AR,1612471825,9,-41.1456,-71.3082,91.4,13.8
rock sound,20,US,1612471666,55,42.6001,-73.9662,37.4,10.36
rock sound,0,AR,1612471620,14,-43.3002,-65.1023,95.22,15.82
rock sound,27,AU,1612471852,82,-33.65,115.3333,55.0,12.35
rock sound,1,US,1612471644,39,34.6391,-120.4579,66.0,5.75
rock sound,76,RU,1612471609,87,50.6789,156.125,7.2,9.19
rock sound,65,NZ,1612471852,70,-46.6,168.3333,50.94,5.06
rock sound,33,VE,1612471852,72,11.4045,-69.6734,82.49,20.0
rock sound,0,EC,1612471852,66,-0.7393,-90.3518,86.0,6.91
rock sound,0,ZA,1612471583,79,-34.0033,24.7314,69.01,3.0
rock sound,20,AR,1612471852,67,-54.8,-68.3,55.4,37.98
rock sound,100,CK,1612471852,70,-21.2078,-159.775,84.2,5.75
rock sound,34,NZ,1612471604,62,-46.1927,168.8643,55.15,3.53
rock sound,88,PF,1612471853,67,-23.1203,-134.9692,78.64,9.64
rock sound,21,ZA,1612471642,85,-33.5906,26.891,66.99,3.0
rock sound,59,BR,1612471853,62,-14.5136,-56.4825,88.05,1.45
rock sound,10,RU,1612471853,86,70.6333,147.9167,-9.98,19.71
rock sound,1,CL,1612471607,56,-37.6167,-73.65,70.12,4.88
rock sound,41,GL,1612471603,70,72.7868,-56.1549,-9.56,4.97
rock sound,58,AU,1612471597,54,-42.7826,147.0587,64.99,1.16
rock sound,93,MX,1612471569,51,27.9769,-114.0611,67.32,18.34
rock sound,0,NA,1612471853,21,-24.8333,16.9833,80.01,21.61
rock sound,40,LR,1612471853,94,5.8808,-10.0467,78.8,8.63
rock sound,75,US,1612471854,65,41.2835,-70.0995,37.4,8.05
rock sound,48,ID,1612471854,94,2.1,99.8333,71.87,1.39
rock sound,100,KI,1612471854,84,3.0707,172.7902,79.99,13.78
rock sound,64,GL,1612471854,60,77.484,-69.3632,-20.49,7.76
rock sound,1,CA,1612471854,69,62.456,-114.3525,-23.01,10.36
rock sound,20,RE,1612471854,69,-21.3585,55.7679,80.6,3.44
rock sound,100,RU,1612471854,78,64.5667,143.2,-20.63,7.67
rock sound,1,US,1612471577,75,71.2906,-156.7887,-25.6,5.75
rock sound,1,US,1612471737,86,57.79,-152.4072,21.2,5.75
rock sound,86,MN,1612471855,88,49.9811,92.0667,-10.62,1.68
rock sound,0,CL,1612471564,39,-53.15,-70.9167,62.6,28.77
rock sound,20,CD,1612471855,37,1.5667,30.25,71.04,2.95
rock sound,100,MN,1612471855,90,49.4867,105.9228,13.05,2.37
rock sound,20,CA,1612471855,66,68.2191,-135.0107,-43.6,2.3
rock sound,1,US,1612471855,47,38.421,-121.4238,57.0,9.22
rock sound,100,RU,1612471855,99,56.1856,50.3972,32.94,9.1
rock sound,1,US,1612471855,36,40.8068,-74.1854,44.6,9.22
rock sound,73,AU,1612471808,100,-28.65,153.6167,64.4,3.47
rock sound,97,ZA,1612471855,73,-34.5322,20.0403,68.0,6.91
rock sound,100,RU,1612471687,83,53.75,127.2667,-23.49,1.43
rock sound,75,US,1612471677,100,57.0531,-135.33,35.6,8.05
rock sound,60,IN,1612471691,69,10.5669,72.642,81.12,5.28
rock sound,0,LY,1612471856,60,29.0331,21.5482,57.81,7.83
rock sound,100,IS,1612471856,72,63.4427,-20.2734,39.67,30.67
rock sound,20,ES,1612471263,77,28.5004,-13.8627,60.8,4.61
rock sound,48,BR,1612471856,73,-1.195,-46.02,82.04,8.28
rock sound,20,US,1612471831,15,32.7253,-114.6244,72.0,16.11
rock sound,100,CV,1612471856,77,14.8961,-24.4956,72.07,10.85
rock sound,0,RU,1612471606,75,71.9167,114.0833,-41.06,3.71
rock sound,0,IN,1612471856,71,21.6422,69.6093,64.96,10.18
rock sound,0,CN,1612471856,65,25.7,100.1833,41.68,3.65
rock sound,100,FR,1612471857,99,43.65,0.5833,53.01,8.01
rock sound,0,AU,1612471857,100,-35.35,150.4667,70.0,10.47
rock sound,40,US,1612471857,52,42.1584,-72.3287,37.99,13.8
rock sound,20,JP,1612471857,60,35.7333,140.8333,33.8,6.91
rock sound,100,RU,1612471857,85,69.3833,178.4167,-26.91,9.19
rock sound,1,US,1612471857,45,41.3712,-73.414,39.2,6.91
rock sound,56,NZ,1612471584,63,-46.1333,167.6833,59.11,2.89
rock sound,27,AR,1612471857,65,-27.4871,-55.1199,75.69,6.73
rock sound,96,ES,1612471857,80,41.6667,-2.6667,45.0,1.01
rock sound,75,AU,1612471596,82,-42.8794,147.3294,64.99,5.75
rock sound,67,NZ,1612471857,61,-35.1667,173.1667,69.55,2.37
rock sound,14,KM,1612471261,66,-11.3847,43.2844,83.08,2.77
rock sound,46,RU,1612471858,77,58.9564,126.2925,-30.82,0.74
rock sound,90,ES,1612471858,88,42.7762,-9.0603,52.0,5.37
rock sound,38,BR,1612471722,73,-3.2778,-39.2689,80.22,10.65
rock sound,40,RU,1612471858,78,64.4743,40.8524,6.8,13.42
rock sound,71,PF,1612471858,69,-9.8,-139.0333,78.6,10.92
rock sound,0,IN,1612471858,82,17.65,83.2667,64.4,2.3
rock sound,1,US,1612471858,29,37.1041,-113.5841,55.0,2.48
rock sound,100,RU,1612471633,92,68.0531,39.5131,10.56,21.05
rock sound,90,CA,1612471858,100,47.6666,-52.7314,45.0,9.8
rock sound,0,ZA,1612471857,77,-33.9258,18.4232,69.01,14.97
rock sound,100,RU,1612471858,87,71.6872,128.8694,-24.21,4.61
rock sound,96,JP,1612471858,67,24.8,125.2833,66.87,15.1
rock sound,69,IR,1612471859,42,33.9831,51.4364,52.12,2.48
rock sound,0,UZ,1612471859,64,40.7821,72.3442,37.99,13.0
rock sound,57,AR,1612471831,50,-23.1322,-64.326,88.0,4.0
rock sound,90,CA,1612471859,85,63.7506,-68.5145,12.2,21.85
rock sound,1,GL,1612471658,35,69.2167,-51.1,-0.4,9.22
rock sound,0,IN,1612471859,44,16.3833,75.1167,65.14,2.17
rock sound,99,TM,1612471859,48,39.2446,55.5154,50.76,2.66
rock sound,75,ZA,1612471859,83,-33.918,25.5701,69.8,8.05
rock sound,100,US,1612471859,57,33.6671,-93.5916,66.99,10.0
rock sound,90,ID,1612471751,80,-0.8667,134.0833,77.79,6.29
rock sound,40,ID,1612471859,94,-8.19,114.9675,77.0,3.44
rock sound,1,US,1612471616,39,36.6777,-121.6555,60.8,4.61
rock sound,90,ID,1612471860,100,-3.3244,114.591,73.4,2.3
rock sound,90,PE,1612471619,65,-11.0964,-77.6139,75.29,8.63
rock sound,27,BW,1612471860,76,-20.1833,25.2333,74.8,7.36
rock sound,100,RU,1612471587,87,64.3833,-173.3,-9.65,27.85
rock sound,40,PT,1612471860,62,38.5167,-28.7,55.4,5.75
rock sound,100,ML,1612471860,13,14.0,-7.75,79.07,7.87
rock sound,19,BR,1612471860,31,-9.1175,-37.7322,86.29,6.35
rock sound,100,RU,1612471672,91,73.5069,80.5464,-7.11,10.33
rock sound,0,BR,1612471860,58,-5.1989,-35.4608,84.2,14.97
rock sound,90,CA,1612471860,100,54.3161,-130.3201,41.0,5.75
rock sound,0,IR,1612471861,19,32.8663,59.2211,28.4,6.91
rock sound,75,US,1612471861,78,19.7297,-155.09,73.4,11.5
rock sound,53,UY,1612471861,66,-33.6971,-53.4616,69.17,16.37
rock sound,100,ID,1612471609,86,-3.8004,102.2655,75.43,5.46
rock sound,100,CA,1612471861,65,55.1001,-105.2842,-2.2,4.61
rock sound,0,BR,1612471861,61,-21.6403,-41.0511,84.2,25.32
rock sound,100,RU,1612471861,99,57.2471,58.7298,31.89,5.82
rock sound,40,US,1612471615,72,22.0752,-159.319,68.0,4.61
rock sound,0,CN,1612471861,93,24.1877,102.817,45.39,3.02
rock sound,31,ML,1612471731,16,22.6783,-3.9836,76.73,9.17
rock sound,93,ZA,1612471861,78,-33.0153,27.9116,73.24,6.82
rock sound,68,ML,1612471861,14,20.0,-3.0,75.74,7.02
rock sound,99,BR,1612471862,76,-2.9248,-39.9167,80.29,13.94
rock sound,40,US,1612471862,47,39.5994,-110.8107,33.8,11.5
rock sound,90,PG,1612471862,98,-4.0625,144.0661,73.83,1.9
rock sound,100,RU,1612471862,92,63.05,179.3167,-0.51,13.33
rock sound,0,IS,1612471862,74,66.0449,-17.3389,23.0,4.61
rock sound,1,US,1612471862,50,36.6177,-121.9166,57.99,8.05
rock sound,0,NE,1612471862,29,13.3154,12.6113,70.47,10.98
rock sound,100,VU,1612471862,79,-13.8833,167.55,81.28,14.92
rock sound,0,SO,1612471862,79,5.3505,48.5268,76.44,15.82
rock sound,75,CA,1612471863,76,70.4692,-68.5914,-20.2,12.66
rock sound,75,WS,1612471863,94,-13.8745,-171.5986,78.8,3.44
rock sound,90,NU,1612471643,94,-19.0595,-169.9187,77.0,10.36
rock sound,68,BR,1612471863,67,-4.8828,-66.8958,88.5,2.57
rock sound,1,US,1612471665,53,29.4241,-98.4936,80.01,3.44
rock sound,13,ZA,1612471863,74,-34.4187,19.2345,69.01,1.99
rock sound,90,AU,1612471863,82,-33.8667,121.9,55.4,2.3
rock sound,59,MG,1612471863,93,-13.2,49.05,75.02,1.41
rock sound,0,KR,1612471636,74,37.5683,126.9778,23.0,8.05
